Detector,Keypoints,Descriptor,Matcher,Descriptor Type,Selector,Detector time,Descriptor time,Total time
AKAZE,164,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0500229,0.254505,0.3045279
AKAZE,173,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0502816,0.258257,0.3085386
AKAZE,175,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0500892,0.252651,0.3027402
AKAZE,177,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0508318,0.25433,0.3051618
AKAZE,179,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0506132,0.255711,0.3063242
AKAZE,157,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0541131,0.00082503,0.05493813
AKAZE,161,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0549872,0.00087077,0.05585797
AKAZE,155,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0514354,0.00076689,0.05220229
AKAZE,163,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0495999,0.00079342,0.05039332
AKAZE,164,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0504863,0.000776367,0.051262667
AKAZE,173,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0569542,0.000802303,0.057756503
AKAZE,175,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0511981,0.000813356,0.052011456
AKAZE,177,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0543426,0.00082346,0.05516606
AKAZE,179,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0511487,0.000843322,0.051992022
AKAZE,157,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0507182,0.00935023,0.06006843
AKAZE,161,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0538662,0.00927568,0.06314188
AKAZE,155,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0493925,0.00965323,0.05904573
AKAZE,163,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0483119,0.00937706,0.05768896
AKAZE,164,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0510021,0.0091782,0.0601803
AKAZE,173,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0504164,0.00935322,0.05976962
AKAZE,175,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0497866,0.00949284,0.05927944
AKAZE,177,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0517438,0.00931837,0.06106217
AKAZE,179,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0511628,0.00926032,0.06042312
AKAZE,157,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0450353,0.0370694,0.0821047
AKAZE,161,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0494647,0.0366099,0.0860746
AKAZE,155,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0505217,0.0374527,0.0879744
AKAZE,163,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0512196,0.0365414,0.087761
AKAZE,164,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0495817,0.0368481,0.0864298
AKAZE,173,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0514253,0.0370962,0.0885215
AKAZE,175,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0498312,0.0395765,0.0894077
